2024001|CS101|15-01-2024|P
2024002|CS101|15-01-2024|P
2024003|CS101|15-01-2024|A
2024004|CS102|15-01-2024|P
2024005|SE101|15-01-2024|P
2024006|CS101|15-01-2024|P
2024007|SE101|15-01-2024|A
2024008|CS102|15-01-2024|P
2024009|SE102|15-01-2024|L
2024010|CS201|15-01-2024|P
2024011|EE101|15-01-2024|P
2024012|CS101|15-01-2024|P
2024013|SE101|15-01-2024|A
2024014|EE101|15-01-2024|P
2024015|CS102|15-01-2024|L
2024001|CS102|16-01-2024|P
2024002|CS102|16-01-2024|L
2024003|SE101|16-01-2024|P
2024004|CS202|16-01-2024|A
2024006|CS101|16-01-2024|P
2024007|SE101|16-01-2024|P
2024008|CS102|16-01-2024|P
2024009|SE102|16-01-2024|A
2024010|CS201|16-01-2024|P
2024011|EE101|16-01-2024|L
2024012|CS101|16-01-2024|P
2024013|SE101|16-01-2024|P
2024014|EE101|16-01-2024|P
2024015|CS102|16-01-2024|A
2024001|MATH101|17-01-2024|P
2024002|MATH101|17-01-2024|P
2024003|SE102|17-01-2024|P
2024004|MATH101|17-01-2024|A
2024005|CS101|17-01-2024|P
2024006|SE101|17-01-2024|P
2024007|CS102|17-01-2024|L
2024008|CS102|17-01-2024|P
2024009|SE102|17-01-2024|P
2024010|CS201|17-01-2024|P
2024011|EE101|17-01-2024|A
2024012|CS101|17-01-2024|P
2024013|SE101|17-01-2024|L
2024014|EE101|17-01-2024|P
2024015|CS102|17-01-2024|P
2024001|CS201|18-01-2024|P
2024002|CS202|18-01-2024|P
2024003|SE102|18-01-2024|A
2024004|MATH101|18-01-2024|P
2024005|CS101|18-01-2024|L
2024006|SE101|18-01-2024|P
2024007|CS102|18-01-2024|A
2024008|CS102|18-01-2024|P
2024009|SE102|18-01-2024|P
2024010|CS201|18-01-2024|P
2024011|EE101|18-01-2024|P
2024012|CS101|18-01-2024|P
2024013|SE101|18-01-2024|A
2024014|EE101|18-01-2024|P
2024015|CS102|18-01-2024|P
2024001|CS102|19-01-2024|P
2024002|CS102|19-01-2024|P
2024003|SE101|19-01-2024|P
2024004|CS202|19-01-2024|A
2024006|CS101|19-01-2024|P
2024007|SE101|19-01-2024|P
2024008|CS102|19-01-2024|L
2024009|SE102|19-01-2024|P
2024010|CS201|19-01-2024|P
2024011|EE101|19-01-2024|P
2024012|CS101|19-01-2024|P
2024013|SE101|19-01-2024|A
2024014|EE101|19-01-2024|P
2024015|CS102|19-01-2024|P
2024001|MATH101|20-01-2024|P
2024002|MATH101|20-01-2024|P
2024003|SE102|20-01-2024|P
2024004|MATH101|20-01-2024|A
2024005|CS101|20-01-2024|P
2024006|SE101|20-01-2024|P
2024007|CS102|20-01-2024|P
2024008|CS102|20-01-2024|P
2024009|SE102|20-01-2024|L
2024010|CS201|20-01-2024|P
2024011|EE101|20-01-2024|P
2024012|CS101|20-01-2024|P
2024013|SE101|20-01-2024|P
2024014|EE101|20-01-2024|L
2024015|CS102|20-01-2024|P
